totalshoppertraffic_visitors,digital_orders,cust_prospect_ind,visit_device_type,event_dt,rate
17262,80,PROSPECT,Mobile Phone,3/9/19,0.463445719
273767,1282,All Visitors,Mobile Phone,3/9/19,0.468281422
19,0,CUSTOMER,Gaming Console,3/9/19,0
247745,4112,All Visitors,Desktop,3/9/19,1.659771136
1,0,All Visitors,E-Reader,3/9/19,0
2576,2,PROSPECT,Tablet,3/9/19,0.077639752
37745,482,All Visitors,Tablet,3/9/19,1.27699033
18,0,PROSPECT,Gaming Console,2/12/19,0
183123,251,UNDETERMINED,Mobile Phone,2/12/19,0.137066343
127,0,All Visitors,Gaming Console,2/12/19,0
160759,564,UNDETERMINED,Desktop,2/12/19,0.350835723
1,0,UNDETERMINED,E-Reader,2/12/19,0
88257,810,CUSTOMER,Mobile Phone,2/12/19,0.917774228
22769,42,UNDETERMINED,Tablet,2/12/19,0.184461329
366730,857,UNDETERMINED,All Devices,2/12/19,0.233686909
14246,272,CUSTOMER,Tablet,2/12/19,1.909307876
103,0,UNDETERMINED,Gaming Console,2/12/19,0
247234,4993,CUSTOMER,All Devices,2/12/19,2.019544237
144775,3911,CUSTOMER,Desktop,2/12/19,2.701433259
21891,91,PROSPECT,Mobile Phone,2/12/19,0.415695948
293015,1152,All Visitors,Mobile Phone,2/12/19,0.393153934
6,0,CUSTOMER,Gaming Console,2/12/19,0
327723,4571,All Visitors,Desktop,2/12/19,1.394775466
1,0,All Visitors,E-Reader,2/12/19,0
4297,6,PROSPECT,Tablet,2/12/19,0.139632302
41268,320,All Visitors,Tablet,2/12/19,0.775419211
48698,193,PROSPECT,All Devices,2/12/19,0.396320177
662052,6043,All Visitors,All Devices,2/12/19,0.912768181
22499,96,PROSPECT,Desktop,2/12/19,0.42668563
25279,53,UNDETERMINED,Tablet,2/23/19,0.209660192
408531,1000,UNDETERMINED,All Devices,2/23/19,0.244779466
16956,491,CUSTOMER,Tablet,2/23/19,2.895730125
443,0,UNDETERMINED,Gaming Console,2/23/19,0
241395,5275,CUSTOMER,All Devices,2/23/19,2.185215104
123318,3552,CUSTOMER,Desktop,2/23/19,2.880358099
20276,84,PROSPECT,Mobile Phone,2/23/19,0.414282896
355269,1670,All Visitors,Mobile Phone,2/23/19,0.470066344
10,0,CUSTOMER,Gaming Console,2/23/19,0
288142,4224,All Visitors,Desktop,2/23/19,1.465943875
1,0,All Visitors,E-Reader,2/23/19,0
3512,10,PROSPECT,Tablet,2/23/19,0.284738041
45713,554,All Visitors,Tablet,2/23/19,1.211909085
40003,173,PROSPECT,All Devices,2/23/19,0.432467565
689473,6448,All Visitors,All Devices,2/23/19,0.935207035
16210,79,PROSPECT,Desktop,2/23/19,0.487353486
13,0,PROSPECT,Gaming Console,2/23/19,0
234022,354,UNDETERMINED,Mobile Phone,2/23/19,0.15126783
466,0,All Visitors,Gaming Console,2/23/19,0
148827,593,UNDETERMINED,Desktop,2/23/19,0.398449206
1,0,UNDETERMINED,E-Reader,2/23/19,0
101177,1232,CUSTOMER,Mobile Phone,2/23/19,1.217668047
1103,0,UNDETERMINED,Gaming Console,3/6/19,0
254899,5939,CUSTOMER,All Devices,3/6/19,2.329942448
160509,4624,CUSTOMER,Desktop,3/6/19,2.880835343
21817,124,PROSPECT,Mobile Phone,3/6/19,0.56836412
258675,1373,All Visitors,Mobile Phone,3/6/19,0.530781869
13,1,CUSTOMER,Gaming Console,3/6/19,7.692307692
336311,5517,All Visitors,Desktop,3/6/19,1.640445897
3076,11,PROSPECT,Tablet,3/6/19,0.357607282
34235,439,All Visitors,Tablet,3/6/19,1.282313422
46681,272,PROSPECT,All Devices,3/6/19,0.582678177
630434,7331,All Visitors,All Devices,3/6/19,1.162849719
21619,136,PROSPECT,Desktop,3/6/19,0.629076275
182,1,PROSPECT,Gaming Console,3/6/19,0.549450549
156066,316,UNDETERMINED,Mobile Phone,3/6/19,0.202478439
1298,2,All Visitors,Gaming Console,3/6/19,0.154083205
154545,757,UNDETERMINED,Desktop,3/6/19,0.48982497
81075,933,CUSTOMER,Mobile Phone,3/6/19,1.150786309
17846,47,UNDETERMINED,Tablet,3/6/19,0.263364339
329541,1120,UNDETERMINED,All Devices,3/6/19,0.339866663
13354,381,CUSTOMER,Tablet,3/6/19,2.85307773
353950,918,UNDETERMINED,All Devices,3/31/19,0.259358666
16201,409,CUSTOMER,Tablet,3/31/19,2.524535522
2313,0,UNDETERMINED,Gaming Console,3/31/19,0
207878,4372,CUSTOMER,All Devices,3/31/19,2.103156659
96786,2983,CUSTOMER,Desktop,3/31/19,3.082057322
24417,80,PROSPECT,Mobile Phone,3/31/19,0.327640578
361985,1480,All Visitors,Mobile Phone,3/31/19,0.408856721
19,0,CUSTOMER,Gaming Console,3/31/19,0
192688,3460,All Visitors,Desktop,3/31/19,1.795648925
3235,7,PROSPECT,Tablet,3/31/19,0.216383308
42149,507,All Visitors,Tablet,3/31/19,1.202875513
38603,157,PROSPECT,All Devices,3/31/19,0.406704142
599866,5447,All Visitors,All Devices,3/31/19,0.908036128
10148,70,PROSPECT,Desktop,3/31/19,0.689791092
813,0,PROSPECT,Gaming Console,3/31/19,0
242940,420,UNDETERMINED,Mobile Phone,3/31/19,0.172882193
3145,0,All Visitors,Gaming Console,3/31/19,0
85958,407,UNDETERMINED,Desktop,3/31/19,0.473487052
94933,980,CUSTOMER,Mobile Phone,3/31/19,1.032306995
22765,91,UNDETERMINED,Tablet,3/31/19,0.399736438
179007,571,UNDETERMINED,Desktop,2/8/19,0.318981939
1,0,UNDETERMINED,E-Reader,2/8/19,0
85898,893,CUSTOMER,Mobile Phone,2/8/19,1.039605113
25157,41,UNDETERMINED,Tablet,2/8/19,0.162976508
418994,973,UNDETERMINED,All Devices,2/8/19,0.232222896
14291,309,CUSTOMER,Tablet,2/8/19,2.162199986
115,1,UNDETERMINED,Gaming Console,2/8/19,0.869565217
253703,4936,CUSTOMER,All Devices,2/8/19,1.945582039
153558,3734,CUSTOMER,Desktop,2/8/19,2.431654489
16263,98,PROSPECT,Mobile Phone,2/8/19,0.602594847
316687,1351,All Visitors,Mobile Phone,2/8/19,0.426604186
14,0,CUSTOMER,Gaming Console,2/8/19,0
351938,4377,All Visitors,Desktop,2/8/19,1.243684967
1,0,All Visitors,E-Reader,2/8/19,0
2802,8,PROSPECT,Tablet,2/8/19,0.28551035
42214,358,All Visitors,Tablet,2/8/19,0.848059885
38714,179,PROSPECT,All Devices,2/8/19,0.462365036
710880,6088,All Visitors,All Devices,2/8/19,0.856403331
19641,72,PROSPECT,Desktop,2/8/19,0.366580113
16,1,PROSPECT,Gaming Console,2/8/19,6.25
214753,360,UNDETERMINED,Mobile Phone,2/8/19,0.167634445
145,2,All Visitors,Gaming Console,2/8/19,1.379310345
553,0,PROSPECT,Gaming Console,3/24/19,0
223721,317,UNDETERMINED,Mobile Phone,3/24/19,0.141694343
2360,0,All Visitors,Gaming Console,3/24/19,0
79655,316,UNDETERMINED,Desktop,3/24/19,0.396710815
92998,825,CUSTOMER,Mobile Phone,3/24/19,0.887115852
23377,61,UNDETERMINED,Tablet,3/24/19,0.26094024
328524,694,UNDETERMINED,All Devices,3/24/19,0.211247884
15487,414,CUSTOMER,Tablet,3/24/19,2.673209789
1793,0,UNDETERMINED,Gaming Console,3/24/19,0
195413,3995,CUSTOMER,All Devices,3/24/19,2.04438804
86970,2756,CUSTOMER,Desktop,3/24/19,3.168908819
28092,112,PROSPECT,Mobile Phone,3/24/19,0.398690019
344488,1254,All Visitors,Mobile Phone,3/24/19,0.364018485
15,0,CUSTOMER,Gaming Console,3/24/19,0
177927,3136,All Visitors,Desktop,3/24/19,1.762520584
3773,8,PROSPECT,Tablet,3/24/19,0.212032865
42587,483,All Visitors,Tablet,3/24/19,1.134148919
43913,184,PROSPECT,All Devices,3/24/19,0.419010316
567274,4873,All Visitors,All Devices,3/24/19,0.859020509
11502,64,PROSPECT,Desktop,3/24/19,0.55642497
83,0,PROSPECT,Gaming Console,3/3/19,0
169495,340,UNDETERMINED,Mobile Phone,3/3/19,0.200595888
721,0,All Visitors,Gaming Console,3/3/19,0
124930,588,UNDETERMINED,Desktop,3/3/19,0.470663572
86839,1196,CUSTOMER,Mobile Phone,3/3/19,1.377261369
19324,47,UNDETERMINED,Tablet,3/3/19,0.243220865
314355,975,UNDETERMINED,All Devices,3/3/19,0.310158897
16062,467,CUSTOMER,Tablet,3/3/19,2.907483501
626,0,UNDETERMINED,Gaming Console,3/3/19,0
226742,5560,CUSTOMER,All Devices,3/3/19,2.452126205
123865,3897,CUSTOMER,Desktop,3/3/19,3.146167198
23754,107,PROSPECT,Mobile Phone,3/3/19,0.45045045
279805,1643,All Visitors,Mobile Phone,3/3/19,0.587194653
12,0,CUSTOMER,Gaming Console,3/3/19,0
265106,4580,All Visitors,Desktop,3/3/19,1.727610842
3524,10,PROSPECT,Tablet,3/3/19,0.283768445
38869,524,All Visitors,Tablet,3/3/19,1.348118038
43986,212,PROSPECT,All Devices,3/3/19,0.481971536
584435,6747,All Visitors,All Devices,3/3/19,1.154448313
16631,95,PROSPECT,Desktop,3/3/19,0.571222416
207942,249,UNDETERMINED,Mobile Phone,2/10/19,0.119744929
263,1,All Visitors,Gaming Console,2/10/19,0.380228137
140591,353,UNDETERMINED,Desktop,2/10/19,0.251082928
86474,871,CUSTOMER,Mobile Phone,2/10/19,1.00723917
25654,47,UNDETERMINED,Tablet,2/10/19,0.183207297
374400,649,UNDETERMINED,All Devices,2/10/19,0.173344017
16178,405,CUSTOMER,Tablet,2/10/19,2.503399679
236,0,UNDETERMINED,Gaming Console,2/10/19,0
216276,4187,CUSTOMER,All Devices,2/10/19,1.935952209
113659,2910,CUSTOMER,Desktop,2/10/19,2.56028999
24476,87,PROSPECT,Mobile Phone,2/10/19,0.355450237
318592,1207,All Visitors,Mobile Phone,2/10/19,0.37885446
10,1,CUSTOMER,Gaming Console,2/10/19,10
272816,3349,All Visitors,Desktop,2/10/19,1.227567298
4433,8,PROSPECT,Tablet,2/10/19,0.180464697
46218,460,All Visitors,Tablet,2/10/19,0.995283223
47784,181,PROSPECT,All Devices,2/10/19,0.378787879
637810,5017,All Visitors,All Devices,2/10/19,0.78659789
18867,86,PROSPECT,Desktop,2/10/19,0.455822335
17,0,PROSPECT,Gaming Console,2/10/19,0
43226,234,PROSPECT,All Devices,3/11/19,0.54134086
629173,6393,All Visitors,All Devices,3/11/19,1.016095732
19228,123,PROSPECT,Desktop,3/11/19,0.639692116
33,0,PROSPECT,Gaming Console,3/11/19,0
162171,290,UNDETERMINED,Mobile Phone,3/11/19,0.178823587
108,2,All Visitors,Gaming Console,3/11/19,1.851851852
151662,705,UNDETERMINED,Desktop,3/11/19,0.464849468
78720,809,CUSTOMER,Mobile Phone,3/11/19,1.027693089
17411,36,UNDETERMINED,Tablet,3/11/19,0.206765838
331293,1033,UNDETERMINED,All Devices,3/11/19,0.31180858
13290,326,CUSTOMER,Tablet,3/11/19,2.45297216
64,2,UNDETERMINED,Gaming Console,3/11/19,3.125
255289,5126,CUSTOMER,All Devices,3/11/19,2.007920435
163301,3991,CUSTOMER,Desktop,3/11/19,2.443953191
21013,102,PROSPECT,Mobile Phone,3/11/19,0.485413791
261686,1201,All Visitors,Mobile Phone,3/11/19,0.458946982
11,0,CUSTOMER,Gaming Console,3/11/19,0
333815,4819,All Visitors,Desktop,3/11/19,1.443613978
2957,9,PROSPECT,Tablet,3/11/19,0.30436253
33620,371,All Visitors,Tablet,3/11/19,1.103509816
331029,4196,All Visitors,Desktop,2/5/19,1.267562661
2844,4,PROSPECT,Tablet,2/5/19,0.140646976
37627,352,All Visitors,Tablet,2/5/19,0.935498445
38005,164,PROSPECT,All Devices,2/5/19,0.431522168
638629,5693,All Visitors,All Devices,2/5/19,0.891440884
18790,82,PROSPECT,Desktop,2/5/19,0.436402342
17,0,PROSPECT,Gaming Console,2/5/19,0
176346,272,UNDETERMINED,Mobile Phone,2/5/19,0.154242228
111,0,All Visitors,Gaming Console,2/5/19,0
160267,556,UNDETERMINED,Desktop,2/5/19,0.346921075
77440,795,CUSTOMER,Mobile Phone,2/5/19,1.02660124
21429,41,UNDETERMINED,Tablet,2/5/19,0.191329507
358095,869,UNDETERMINED,All Devices,2/5/19,0.242673034
13388,307,CUSTOMER,Tablet,2/5/19,2.293098297
85,0,UNDETERMINED,Gaming Console,2/5/19,0
243011,4660,CUSTOMER,All Devices,2/5/19,1.917608668
152234,3558,CUSTOMER,Desktop,2/5/19,2.337191429
16361,78,PROSPECT,Mobile Phone,2/5/19,0.476743475
269962,1145,All Visitors,Mobile Phone,2/5/19,0.424133767
9,0,CUSTOMER,Gaming Console,2/5/19,0
1,0,UNDETERMINED,E-Reader,3/16/19,0
79729,936,CUSTOMER,Mobile Phone,3/16/19,1.173976847
20986,56,UNDETERMINED,Tablet,3/16/19,0.266844563
327857,816,UNDETERMINED,All Devices,3/16/19,0.248888997
14494,405,CUSTOMER,Tablet,3/16/19,2.794259694
1690,0,UNDETERMINED,Gaming Console,3/16/19,0
212715,4705,CUSTOMER,All Devices,3/16/19,2.211879745
118499,3364,CUSTOMER,Desktop,3/16/19,2.838842522
21711,91,PROSPECT,Mobile Phone,3/16/19,0.41914237
270584,1282,All Visitors,Mobile Phone,3/16/19,0.473790025
22,0,CUSTOMER,Gaming Console,3/16/19,0
269354,3964,All Visitors,Desktop,3/16/19,1.471669253
1,0,All Visitors,E-Reader,3/16/19,0
3358,6,PROSPECT,Tablet,3/16/19,0.178677784
38783,467,All Visitors,Tablet,3/16/19,1.204135833
40713,192,PROSPECT,All Devices,3/16/19,0.47159384
580696,5713,All Visitors,All Devices,3/16/19,0.983819417
15337,95,PROSPECT,Desktop,3/16/19,0.619417096
313,0,PROSPECT,Gaming Console,3/16/19,0
169425,255,UNDETERMINED,Mobile Phone,3/16/19,0.150509075
2025,0,All Visitors,Gaming Console,3/16/19,0
135771,505,UNDETERMINED,Desktop,3/16/19,0.371949827
15064,386,CUSTOMER,Tablet,3/10/19,2.562400425
114,2,UNDETERMINED,Gaming Console,3/10/19,1.754385965
207811,4299,CUSTOMER,All Devices,3/10/19,2.068706661
112555,3033,CUSTOMER,Desktop,3/10/19,2.6946826
21713,82,PROSPECT,Mobile Phone,3/10/19,0.37765394
261116,1207,All Visitors,Mobile Phone,3/10/19,0.462246664
9,0,CUSTOMER,Gaming Console,3/10/19,0
236536,3649,All Visitors,Desktop,3/10/19,1.542682721
3290,10,PROSPECT,Tablet,3/10/19,0.303951368
37931,450,All Visitors,Tablet,3/10/19,1.186364715
38146,164,PROSPECT,All Devices,3/10/19,0.429927122
535700,5308,All Visitors,All Devices,3/10/19,0.990853089
13107,72,PROSPECT,Desktop,3/10/19,0.549324788
40,0,PROSPECT,Gaming Console,3/10/19,0
159871,245,UNDETERMINED,Mobile Phone,3/10/19,0.153248557
163,2,All Visitors,Gaming Console,3/10/19,1.226993865
111532,544,UNDETERMINED,Desktop,3/10/19,0.487752394
80212,880,CUSTOMER,Mobile Phone,3/10/19,1.097092704
19688,54,UNDETERMINED,Tablet,3/10/19,0.274278748
291194,845,UNDETERMINED,All Devices,3/10/19,0.290184551
131073,3815,CUSTOMER,Desktop,3/2/19,2.910591808
24743,118,PROSPECT,Mobile Phone,3/2/19,0.476902558
300247,1699,All Visitors,Mobile Phone,3/2/19,0.565867436
20,0,CUSTOMER,Gaming Console,3/2/19,0
276661,4537,All Visitors,Desktop,3/2/19,1.639913107
1,0,All Visitors,E-Reader,3/2/19,0
3449,12,PROSPECT,Tablet,3/2/19,0.347926935
40572,624,All Visitors,Tablet,3/2/19,1.538006507
45233,241,PROSPECT,All Devices,3/2/19,0.532796852
617902,6862,All Visitors,All Devices,3/2/19,1.110532091
16990,109,PROSPECT,Desktop,3/2/19,0.641553855
55,2,PROSPECT,Gaming Console,3/2/19,3.636363636
179557,330,UNDETERMINED,Mobile Phone,3/2/19,0.18378565
477,2,All Visitors,Gaming Console,3/2/19,0.419287212
128910,613,UNDETERMINED,Desktop,3/2/19,0.47552556
1,0,UNDETERMINED,E-Reader,3/2/19,0
96279,1251,CUSTOMER,Mobile Phone,3/2/19,1.299348768
20217,56,UNDETERMINED,Tablet,3/2/19,0.276994608
329074,999,UNDETERMINED,All Devices,3/2/19,0.303579134
16966,556,CUSTOMER,Tablet,3/2/19,3.27714252
402,0,UNDETERMINED,Gaming Console,3/2/19,0
244302,5622,CUSTOMER,All Devices,3/2/19,2.301250092
310025,1397,All Visitors,Mobile Phone,2/7/19,0.450608822
11,0,CUSTOMER,Gaming Console,2/7/19,0
344519,4556,All Visitors,Desktop,2/7/19,1.322423437
3191,5,PROSPECT,Tablet,2/7/19,0.156690693
42246,356,All Visitors,Tablet,2/7/19,0.842683331
40601,186,PROSPECT,All Devices,2/7/19,0.458116795
696833,6312,All Visitors,All Devices,2/7/19,0.90581244
19949,95,PROSPECT,Desktop,2/7/19,0.476214347
16,1,PROSPECT,Gaming Console,2/7/19,6.25
199045,314,UNDETERMINED,Mobile Phone,2/7/19,0.157753272
141,3,All Visitors,Gaming Console,2/7/19,2.127659574
167437,534,UNDETERMINED,Desktop,2/7/19,0.318925924
93770,998,CUSTOMER,Mobile Phone,2/7/19,1.064306281
24334,42,UNDETERMINED,Tablet,2/7/19,0.172598011
390894,892,UNDETERMINED,All Devices,2/7/19,0.228194856
14759,309,CUSTOMER,Tablet,2/7/19,2.09363778
115,2,UNDETERMINED,Gaming Console,2/7/19,1.739130435
265983,5234,CUSTOMER,All Devices,2/7/19,1.967794934
157491,3927,CUSTOMER,Desktop,2/7/19,2.493475818
17452,85,PROSPECT,Mobile Phone,2/7/19,0.487050195
20201,88,PROSPECT,Mobile Phone,3/19/19,0.435621999
242081,1118,All Visitors,Mobile Phone,3/19/19,0.461828892
10,1,CUSTOMER,Gaming Console,3/19/19,10
335250,5010,All Visitors,Desktop,3/19/19,1.494407159
2,0,All Visitors,E-Reader,3/19/19,0
3071,8,PROSPECT,Tablet,3/19/19,0.260501465
32318,392,All Visitors,Tablet,3/19/19,1.212946346
43018,206,PROSPECT,All Devices,3/19/19,0.478869311
609722,6521,All Visitors,All Devices,3/19/19,1.069503807
19697,110,PROSPECT,Desktop,3/19/19,0.558460679
63,0,PROSPECT,Gaming Console,3/19/19,0
137946,342,UNDETERMINED,Mobile Phone,3/19/19,0.2479231
142,1,All Visitors,Gaming Console,3/19/19,0.704225352
155500,750,UNDETERMINED,Desktop,3/19/19,0.482315113
2,0,UNDETERMINED,E-Reader,3/19/19,0
84161,688,CUSTOMER,Mobile Phone,3/19/19,0.817480781
15456,67,UNDETERMINED,Tablet,3/19/19,0.433488613
308960,1159,UNDETERMINED,All Devices,3/19/19,0.375129467
13839,317,CUSTOMER,Tablet,3/19/19,2.290627936
70,0,UNDETERMINED,Gaming Console,3/19/19,0
258394,5157,CUSTOMER,All Devices,3/19/19,1.995789376
160420,4151,CUSTOMER,Desktop,3/19/19,2.587582596
1641,0,UNDETERMINED,Gaming Console,3/25/19,0
248364,5254,CUSTOMER,All Devices,3/25/19,2.115443462
140771,4077,CUSTOMER,Desktop,3/25/19,2.896193108
28191,130,PROSPECT,Mobile Phone,3/25/19,0.46114008
333187,1343,All Visitors,Mobile Phone,3/25/19,0.403076951
15,0,CUSTOMER,Gaming Console,3/25/19,0
274780,4819,All Visitors,Desktop,3/25/19,1.75376665
1,0,All Visitors,E-Reader,3/25/19,0
3597,11,PROSPECT,Tablet,3/25/19,0.305810398
37663,383,All Visitors,Tablet,3/25/19,1.016913151
49951,270,PROSPECT,All Devices,3/25/19,0.540529719
647800,6545,All Visitors,All Devices,3/25/19,1.010342698
17570,129,PROSPECT,Desktop,3/25/19,0.734206033
604,0,PROSPECT,Gaming Console,3/25/19,0
211886,363,UNDETERMINED,Mobile Phone,3/25/19,0.171318539
2260,0,All Visitors,Gaming Console,3/25/19,0
116726,613,UNDETERMINED,Desktop,3/25/19,0.525161489
1,0,UNDETERMINED,E-Reader,3/25/19,0
93418,850,CUSTOMER,Mobile Phone,3/25/19,0.909888887
19895,45,UNDETERMINED,Tablet,3/25/19,0.226187484
350130,1021,UNDETERMINED,All Devices,3/25/19,0.291605975
14217,327,CUSTOMER,Tablet,3/25/19,2.300063304
146228,3982,CUSTOMER,Desktop,2/11/19,2.723144678
22494,97,PROSPECT,Mobile Phone,2/11/19,0.431226105
309294,1163,All Visitors,Mobile Phone,2/11/19,0.37601764
18,0,CUSTOMER,Gaming Console,2/11/19,0
345299,4612,All Visitors,Desktop,2/11/19,1.335654027
4135,13,PROSPECT,Tablet,2/11/19,0.314389359
41772,342,All Visitors,Tablet,2/11/19,0.81873025
49779,212,PROSPECT,All Devices,2/11/19,0.4258824
696586,6118,All Visitors,All Devices,2/11/19,0.878283514
23133,102,PROSPECT,Desktop,2/11/19,0.440928544
21,0,PROSPECT,Gaming Console,2/11/19,0
208457,250,UNDETERMINED,Mobile Phone,2/11/19,0.11992881
304,1,All Visitors,Gaming Console,2/11/19,0.328947368
176326,528,UNDETERMINED,Desktop,2/11/19,0.299445346
78626,816,CUSTOMER,Mobile Phone,2/11/19,1.037824638
24423,41,UNDETERMINED,Tablet,2/11/19,0.167874544
409437,820,UNDETERMINED,All Devices,2/11/19,0.200275012
13255,288,CUSTOMER,Tablet,2/11/19,2.172764994
265,1,UNDETERMINED,Gaming Console,2/11/19,0.377358491
238083,5086,CUSTOMER,All Devices,2/11/19,2.136229802
21460,125,PROSPECT,Desktop,3/5/19,0.582479031
142,1,PROSPECT,Gaming Console,3/5/19,0.704225352
160405,309,UNDETERMINED,Mobile Phone,3/5/19,0.192637387
949,1,All Visitors,Gaming Console,3/5/19,0.105374078
160582,665,UNDETERMINED,Desktop,3/5/19,0.414118643
1,0,UNDETERMINED,E-Reader,3/5/19,0
80715,931,CUSTOMER,Mobile Phone,3/5/19,1.15344112
17879,50,UNDETERMINED,Tablet,3/5/19,0.279657699
339640,1024,UNDETERMINED,All Devices,3/5/19,0.301495701
13119,356,CUSTOMER,Tablet,3/5/19,2.713621465
793,0,UNDETERMINED,Gaming Console,3/5/19,0
255906,5792,CUSTOMER,All Devices,3/5/19,2.263331067
162106,4505,CUSTOMER,Desktop,3/5/19,2.77904581
20451,99,PROSPECT,Mobile Phone,3/5/19,0.484083908
261326,1339,All Visitors,Mobile Phone,3/5/19,0.512386827
14,0,CUSTOMER,Gaming Console,3/5/19,0
343819,5295,All Visitors,Desktop,3/5/19,1.540054505
1,0,All Visitors,E-Reader,3/5/19,0
2817,10,PROSPECT,Tablet,3/5/19,0.354987575
33782,416,All Visitors,Tablet,3/5/19,1.231425019
44856,235,PROSPECT,All Devices,3/5/19,0.523898698
639790,7051,All Visitors,All Devices,3/5/19,1.10208037
79075,787,CUSTOMER,Mobile Phone,2/6/19,0.995257667
22085,37,UNDETERMINED,Tablet,2/6/19,0.167534526
348434,852,UNDETERMINED,All Devices,2/6/19,0.244522636
13652,264,CUSTOMER,Tablet,2/6/19,1.933782596
80,1,UNDETERMINED,Gaming Console,2/6/19,1.25
242911,4381,CUSTOMER,All Devices,2/6/19,1.803541215
150209,3329,CUSTOMER,Desktop,2/6/19,2.216245365
19504,106,PROSPECT,Mobile Phone,2/6/19,0.543478261
269618,1172,All Visitors,Mobile Phone,2/6/19,0.434689079
15,1,CUSTOMER,Gaming Console,2/6/19,6.666666667
326372,3962,All Visitors,Desktop,2/6/19,1.213952177
3428,7,PROSPECT,Tablet,2/6/19,0.2042007
39136,308,All Visitors,Tablet,2/6/19,0.786999182
44375,212,PROSPECT,All Devices,2/6/19,0.477746479
635154,5445,All Visitors,All Devices,2/6/19,0.85727241
21437,98,PROSPECT,Desktop,2/6/19,0.45715352
18,1,PROSPECT,Gaming Console,2/6/19,5.555555556
171252,279,UNDETERMINED,Mobile Phone,2/6/19,0.162917805
112,3,All Visitors,Gaming Console,2/6/19,2.678571429
155046,535,UNDETERMINED,Desktop,2/6/19,0.345058886
94438,3081,CUSTOMER,Desktop,3/23/19,3.262457909
27964,102,PROSPECT,Mobile Phone,3/23/19,0.364754685
355888,1397,All Visitors,Mobile Phone,3/23/19,0.392539226
9,0,CUSTOMER,Gaming Console,3/23/19,0
189812,3425,All Visitors,Desktop,3/23/19,1.804417002
3694,8,PROSPECT,Tablet,3/23/19,0.216567407
43460,476,All Visitors,Tablet,3/23/19,1.095260009
44116,172,PROSPECT,All Devices,3/23/19,0.389881222
590888,5298,All Visitors,All Devices,3/23/19,0.896616618
12046,62,PROSPECT,Desktop,3/23/19,0.514693674
418,0,PROSPECT,Gaming Console,3/23/19,0
228567,344,UNDETERMINED,Mobile Phone,3/23/19,0.150502916
1823,0,All Visitors,Gaming Console,3/23/19,0
83569,282,UNDETERMINED,Desktop,3/23/19,0.337445704
99720,951,CUSTOMER,Mobile Phone,3/23/19,0.953670277
23609,52,UNDETERMINED,Tablet,3/23/19,0.220254988
337113,678,UNDETERMINED,All Devices,3/23/19,0.201119506
16224,416,CUSTOMER,Tablet,3/23/19,2.564102564
1396,0,UNDETERMINED,Gaming Console,3/23/19,0
210333,4448,CUSTOMER,All Devices,3/23/19,2.114741862
97140,1207,CUSTOMER,Mobile Phone,2/27/19,1.242536545
20483,59,UNDETERMINED,Tablet,2/27/19,0.288043744
398582,1587,UNDETERMINED,All Devices,2/27/19,0.398161482
13761,370,CUSTOMER,Tablet,2/27/19,2.688758084
350,1,UNDETERMINED,Gaming Console,2/27/19,0.285714286
271480,6046,CUSTOMER,All Devices,2/27/19,2.227051717
160627,4469,CUSTOMER,Desktop,2/27/19,2.782222167
20778,147,PROSPECT,Mobile Phone,2/27/19,0.707479064
323694,1906,All Visitors,Mobile Phone,2/27/19,0.58882772
12,0,CUSTOMER,Gaming Console,2/27/19,0
351063,5583,All Visitors,Desktop,2/27/19,1.59031285
2816,8,PROSPECT,Tablet,2/27/19,0.284090909
37029,437,All Visitors,Tablet,2/27/19,1.180156094
42680,295,PROSPECT,All Devices,2/27/19,0.691190253
712073,7928,All Visitors,All Devices,2/27/19,1.113368994
19058,139,PROSPECT,Desktop,2/27/19,0.729352503
41,1,PROSPECT,Gaming Console,2/27/19,2.43902439
206058,552,UNDETERMINED,Mobile Phone,2/27/19,0.267885741
403,2,All Visitors,Gaming Console,2/27/19,0.496277916
171731,975,UNDETERMINED,Desktop,2/27/19,0.567748397
346,1,PROSPECT,Gaming Console,3/22/19,0.289017341
231106,435,UNDETERMINED,Mobile Phone,3/22/19,0.188225317
1515,1,All Visitors,Gaming Console,3/22/19,0.066006601
113672,472,UNDETERMINED,Desktop,3/22/19,0.415229784
1,0,UNDETERMINED,E-Reader,3/22/19,0
104594,947,CUSTOMER,Mobile Phone,3/22/19,0.905405664
21237,94,UNDETERMINED,Tablet,3/22/19,0.442623723
367142,1001,UNDETERMINED,All Devices,3/22/19,0.272646551
17231,314,CUSTOMER,Tablet,3/22/19,1.822297023
1160,0,UNDETERMINED,Gaming Console,3/22/19,0
263383,5073,CUSTOMER,All Devices,3/22/19,1.926092421
141618,3812,CUSTOMER,Desktop,3/22/19,2.691748224
22989,109,PROSPECT,Mobile Phone,3/22/19,0.474139806
358419,1491,All Visitors,Mobile Phone,3/22/19,0.415993572
10,0,CUSTOMER,Gaming Console,3/22/19,0
271272,4382,All Visitors,Desktop,3/22/19,1.615352856
1,0,All Visitors,E-Reader,3/22/19,0
3099,14,PROSPECT,Tablet,3/22/19,0.451758632
41532,422,All Visitors,Tablet,3/22/19,1.016083983
42665,222,PROSPECT,All Devices,3/22/19,0.520332826
672620,6296,All Visitors,All Devices,3/22/19,0.936041153
16244,98,PROSPECT,Desktop,3/22/19,0.60329968
148401,743,UNDETERMINED,Desktop,3/1/19,0.500670481
100142,1138,CUSTOMER,Mobile Phone,3/1/19,1.136386331
